;weights;weights_norm
Urbano;0,8201;0,007
Mata;0,1605;0,0014
Piscina;105,4402;0,9061
Sombra;0,8419;0,0072
Regeneracao;0,0;0,0
Agricultura;0,0;0,0
Rocha;0,0;0,0
Solo;2,3718;0,0204
Agua;5,3839;0,0463
Vegetacao Rasteira;1,3443;0,0116
