;0;1;2;3;4;5;6;7
148;0;586879;229256;197354;3180815;0;0;0
149;153987;85660;319522;121862;3327882;56403;128988;0
150;0;48836;6213;2349774;0;1789481;0;0
151;0;0;4930;2087288;0;2102086;0;0
152;0;0;0;0;0;4194304;0;0
153;0;0;10068;3946487;0;0;237749;0
154;4946;63050;3037;3623268;0;0;477727;22276
155;0;0;0;4043671;0;146516;4117;0
156;0;28672;2046;3850147;0;313439;0;0
157;0;0;0;4101871;0;92433;0;0
158;0;0;4585;4070991;0;118728;0;0
159;0;0;0;3798504;0;395800;0;0
160;0;10063;0;0;0;4184241;0;0
161;0;0;14662;3883333;0;296309;0;0
162;0;0;11689;3715334;0;467281;0;0
163;0;76985;150062;3967257;0;0;0;0
164;0;3581030;9884;0;0;603390;0;0
165;0;1181538;7405;1517865;0;1487496;0;0
166;0;961248;0;3037677;0;195379;0;0
167;0;31759;3086;4159459;0;0;0;0
168;0;4304;4682;4175103;0;0;10215;0
169;0;0;0;3941549;0;252755;0;0
170;0;0;13180;3025404;0;1155720;0;0
171;0;0;194658;0;3935170;0;64476;0
172;0;2085461;612546;454201;0;1042096;0;0
173;0;0;14977;3833879;0;236005;109443;0
174;0;531619;13138;3642946;0;0;6601;0
175;0;2028749;40487;2125068;0;0;0;0
176;0;787734;41756;3189838;0;174976;0;0
177;0;0;5556;776175;0;3412573;0;0
178;0;4167888;9155;0;0;17261;0;0
179;14154;0;127767;462179;3540548;0;49656;0
180;0;0;0;4139555;0;54749;0;0
181;0;0;0;4115862;0;78442;0;0
182;0;0;0;4165976;0;28328;0;0
183;0;0;0;2377284;0;1817020;0;0
184;0;0;16968;807535;0;3369801;0;0
185;0;0;9567;774658;0;3410079;0;0
186;471292;327415;252283;0;3143314;0;0;0
187;9094;70355;124993;0;3989862;0;0;0
188;26830;394146;146316;0;3566330;0;0;60682
189;1922753;1093312;242151;0;676254;0;259834;0
190;0;826699;343120;324400;2679948;0;20137;0
191;0;342986;50133;1487303;2313882;0;0;0
192;0;0;3979;689303;0;3501022;0;0
193;3359788;135530;130213;359655;0;0;209118;0
194;0;347988;68619;656083;0;3121614;0;0
195;0;35268;120002;1590781;2448253;0;0;0
196;36395;670495;78127;0;3399929;0;9358;0
197;0;0;6064;3184740;0;1003500;0;0
198;0;424149;0;3440851;0;329304;0;0
199;0;0;42959;2768020;1383325;0;0;0
200;0;73627;0;0;0;0;0;4120677
201;0;135668;7407;278401;0;0;228054;3544774
202;60187;1622093;40036;0;0;0;73200;2398788
203;0;469723;11480;867082;0;0;145461;2700558
204;0;428673;2585;0;0;0;30091;3732955
205;28604;478236;3825;0;0;0;299408;3384231
206;153071;449687;0;0;0;0;29569;3561977
207;0;466616;0;0;0;0;9890;3717798
208;498928;955654;58;0;0;0;1477871;1261793
209;0;253365;0;0;0;0;5940;3934999
210;0;279645;0;0;0;0;0;3914659
211;0;1251894;20855;0;0;0;0;2921555
212;0;0;0;0;0;0;0;4194304
213;5884;369626;1187;0;0;0;0;3817607
